name,line
Cha Sung-hoon,I’ve learned that silence often speaks the loudest.
Cha Sung-hoon,"Everything I do is calculated, even kindness."
Cha Sung-hoon,Trust is rare. That’s why it matters.
Cha Sung-hoon,I’ve seen him angry. You don’t want that.
Cha Sung-hoon,This isn’t about feelings. It’s about priorities.
Cha Sung-hoon,I won’t stop you. But I won’t follow either.
Cha Sung-hoon,"Sometimes, duty comes before comfort."
Cha Sung-hoon,You think he doesn’t care. You’re wrong.
Cha Sung-hoon,I know when to step in—and when to walk away.
Cha Sung-hoon,I don’t drink much. I watch people who do.
Cha Sung-hoon,There’s strength in staying silent.
Cha Sung-hoon,You’re not wrong. You’re just too loud about it.
Cha Sung-hoon,You remind me of someone… impulsive but sincere.
Cha Sung-hoon,He doesn’t say thank you. But he knows.
Cha Sung-hoon,I know how this ends. I’ve seen it before.
Cha Sung-hoon,I’m not his friend. I’m his boundary.
Cha Sung-hoon,I clean up messes. Quietly.
Cha Sung-hoon,You weren’t supposed to know that. But now you do.
Cha Sung-hoon,Sometimes being loyal means keeping secrets.
Cha Sung-hoon,He needs you. He just doesn’t say it out loud.
Cha Sung-hoon,I saw your tears. That’s why I stayed.
Jin Young-seo,I don’t care what he thinks. I’m doing it my way.
Jin Young-seo,"Dating isn’t a job interview. It’s chaos, and I love it."
Jin Young-seo,"If I want something, I go get it."
Jin Young-seo,Why should I stay quiet? I have a voice.
Jin Young-seo,I’m not the girl who waits by the phone.
Jin Young-seo,"Yes, I lied. And I’m not sorry about it."
Jin Young-seo,My dad wants me to marry a robot. I said no.
Jin Young-seo,I don’t want perfect. I want real.
Jin Young-seo,He makes me laugh… when I’m not trying to strangle him.
Jin Young-seo,I can love someone and still call out their crap.
Jin Young-seo,Don't tell me what a lady should do.
Jin Young-seo,I wasn’t born to sit quietly in a corner.
Jin Young-seo,I’m not dramatic. I’m expressive.
Jin Young-seo,"Yes, this dress has pockets. And yes, I’m still angry."
Jin Young-seo,I don’t owe you an explanation—only a warning.
Jin Young-seo,I’ve been underestimated since birth.
Jin Young-seo,You think I’m too much? Then find less.
Jin Young-seo,Love should be loud and inconvenient.
Jin Young-seo,"I cried, screamed, and still showed up. That’s strength."
Jin Young-seo,"You can’t tame a storm, and I won’t be tamed."
Jin Young-seo,I broke up with him. Then I blocked him. Twice.
Jin Young-seo,Why do men get praised for breathing?
Jin Young-seo,Being single is my rebellion.
Jin Young-seo,"If my lipstick intimidates you, that’s your problem."
Jin Young-seo,I flirt like I fight: fiercely.
Jin Young-seo,I can be soft—when I choose to be.
Jin Young-seo,You want honesty? I’m brutally gifted at it.
Jin Young-seo,The only thing I fake is a smile at family dinners.
Jin Young-seo,He said I’m intense. I said thank you.
Jin Young-seo,"No, I won’t dim my light for anyone."
Jin Young-seo,I’m loud because silence never helped me.
Jin Young-seo,I made a scene. And it was fabulous.
Jin Young-seo,You call it drama. I call it a Tuesday.
Jin Young-seo,He tried to gaslight me. I lit the fire first.
Jin Young-seo,This is not a meltdown. It’s a masterpiece.
Shin Ha-Ri,I never planned to fall for him. But I did.
Shin Ha-Ri,I’m not as brave as I look.
Shin Ha-Ri,Lying to him hurt more than I thought.
Shin Ha-Ri,I wanted to protect my heart. It betrayed me.
Shin Ha-Ri,He makes me nervous. And happy. And confused.
Shin Ha-Ri,I hate that I care so much.
Shin Ha-Ri,I’m always second-guessing myself.
Shin Ha-Ri,Sometimes I smile so people don’t ask questions.
Shin Ha-Ri,I’m strong… until I’m not.
Shin Ha-Ri,I kept pretending this was a game. It’s not.
Shin Ha-Ri,"I tried to leave, but my heart stayed."
Shin Ha-Ri,He looked at me like I mattered.
Shin Ha-Ri,I’m scared he’ll find out who I really am.
Shin Ha-Ri,Even fake love hurts when it feels real.
Shin Ha-Ri,I wanted this to be simple. It never was.
Shin Ha-Ri,I laugh a lot. Sometimes to hide the fear.
Shin Ha-Ri,Do I deserve someone like him?
Shin Ha-Ri,I lie better than I thought. That scares me.
Shin Ha-Ri,I didn’t expect him to remember my birthday.
Shin Ha-Ri,This isn’t a fairy tale. It’s worse—because it’s real.
Shin Ha-Ri,I cried in the elevator. Twice.
Shin Ha-Ri,He held the door… and my breath.
Shin Ha-Ri,I practice confessions in the mirror.
Shin Ha-Ri,"Love shouldn’t be this complicated, right?"
Shin Ha-Ri,I can’t tell if he likes me—or just doesn’t know yet.
Shin Ha-Ri,My mom thinks I’m doing fine. She’s wrong.
Shin Ha-Ri,Sometimes I miss the version of me that didn’t lie.
Shin Ha-Ri,I didn’t ask for this heartache.
Shin Ha-Ri,He smiled. And I forgot my own name.
Shin Ha-Ri,This wasn’t supposed to happen.
Shin Ha-Ri,The worst part is… I want him to know me.
Shin Ha-Ri,How do I stop falling when I never meant to start?
Shin Ha-Ri,Even my reflection judges me lately.
Shin Ha-Ri,I used to dream of love. Now I dream of silence.
Shin Ha-Ri,I’m not the lead in this story. Or maybe I am.
Chairman Kang,"Back in my day, people didn’t hesitate like this."
Chairman Kang,What’s wrong with arranged marriage? It worked for me!
Chairman Kang,"Respect is earned, not demanded."
Chairman Kang,Why does everyone fear love but not failure?
Chairman Kang,"Business is war, and I hate losing."
Chairman Kang,A real man provides. That’s it.
Chairman Kang,Do you know what I did when I was your age? Built an empire.
Chairman Kang,My blood pressure rises every time you mention dating apps.
Chairman Kang,I built this company from nothing. You will not ruin it.
Chairman Kang,"I may be old, but I’m not blind."
Chairman Kang,You don’t marry for love. You learn to love.
Chairman Kang,Stop acting like emotions belong in the boardroom.
Chairman Kang,That girl has spirit… reminds me of myself.
Chairman Kang,Love? What about the quarterly reports!
Chairman Kang,"You're the heir, not a bachelor on a picnic."
Chairman Kang,Discipline. That’s what made me who I am.
Chairman Kang,I never took a sick day. You should try it.
Chairman Kang,One wrong woman and your whole life derails.
Chairman Kang,"Marriage is strategy, not romance."
Chairman Kang,Do I have to choose your wife myself?
Chairman Kang,Don't argue. Just do it.
Chairman Kang,A weak heart has no place in this family.
Chairman Kang,Eat more. You look thinner than our stock margins.
Chairman Kang,I hired 300 people this year. None gave me this headache.
Chairman Kang,She’s too loud. But at least she’s not boring.
Chairman Kang,You like her? Then marry her and stop whining.
Chairman Kang,You think I’m harsh? Try the real world.
Chairman Kang,"At your age, I already had two sons and three factories."
Chairman Kang,I don’t need approval. I give it.
Chairman Kang,You’re not sick. You’re just spoiled.
Chairman Kang,"If I wanted a soft heir, I’d buy a puppy."
Chairman Kang,She's got fire. Don’t extinguish it.
Chairman Kang,Do I scare you? Good.
Chairman Kang,I didn’t raise a coward.
Chairman Kang,My legacy is not negotiable.
Chairman Kang,Make a decision. Or I’ll make it for you.
Restaurant staff,More side dishes? Coming right up!
Restaurant staff,She comes in every Thursday—never skips.
Restaurant staff,He asked for kimchi without spice. What does that even mean?
Restaurant staff,We ran out of rice again. Who’s hoarding?
Restaurant staff,That couple’s back. Bet they break up again.
Restaurant staff,This table’s cursed. Always gets complaints.
Restaurant staff,I should’ve opened a chicken shop instead.
Restaurant staff,Tips? In this economy?
Restaurant staff,Why do people always order right before closing?
Restaurant staff,I swear someone stole our soy sauce.
Restaurant staff,"Aigoo, this stew is too salty… again."
Restaurant staff,"Don't look now, but that’s a chaebol heir over there!"
Restaurant staff,"No photos in the kitchen, please!"
Restaurant staff,My feet are killing me and it’s only lunch rush.
Restaurant staff,He ordered four bowls and left nothing. Impressive.
Restaurant staff,Who ordered the spicy tofu? It’s a level 5!
Restaurant staff,Every drama couple fights over that stew.
Restaurant staff,We need a raise. Or at least air conditioning.
Restaurant staff,Tell the chef table 3 said it’s too bland.
Restaurant staff,They spilled soup again. That table is jinxed.
Restaurant staff,I can smell breakup energy from here.
Restaurant staff,Is that her third blind date this month?
Restaurant staff,Why do rich people eat like they're on a diet?
Restaurant staff,He smiled at her like in those dramas!
Restaurant staff,That girl left crying. Did he dump her?
Restaurant staff,We need more kimchi. We *always* need more kimchi.
Restaurant staff,I should charge extra for overheard gossip.
Restaurant staff,These chopsticks keep disappearing!
Restaurant staff,It’s always the quiet ones who leave the biggest mess.
Restaurant staff,They tipped! I’m framing this bill.
Restaurant staff,Some customers think we're therapists.
Restaurant staff,He looks heartbroken. Give him free soup.
Restaurant staff,This table better not start a scene.
Restaurant staff,I’ve seen her cry over noodles more than any man.
Restaurant staff,Please no more influencers today.
Shin Ha-Ri's Dad,"Don’t tell your mom I said this, but I agree with you."
Shin Ha-Ri's Dad,"Want some late-night ramen, kiddo?"
Shin Ha-Ri's Dad,"Back when I met your mom, I was thinner—and poorer."
Shin Ha-Ri's Dad,Men don’t cry? Rubbish. I cried during your school play.
Shin Ha-Ri's Dad,You’ve always been my brave girl.
Shin Ha-Ri's Dad,Money isn’t everything. But it sure helps with bills.
Shin Ha-Ri's Dad,That boy of yours better respect you.
Shin Ha-Ri's Dad,Marriage isn’t a race. Take your time.
Shin Ha-Ri's Dad,"You can always come home, no matter what."
Shin Ha-Ri's Dad,I burnt dinner again. Let’s order chicken.
Shin Ha-Ri's Dad,Did I ever tell you how I proposed? Clumsily.
Shin Ha-Ri's Dad,"I don't say it often, but I'm proud of you."
Shin Ha-Ri's Dad,Life’s hard. That’s why we have family.
Shin Ha-Ri's Dad,You get that stubbornness from your mom.
Shin Ha-Ri's Dad,You used to fit in one arm. Now look at you.
Shin Ha-Ri's Dad,"I may not understand love, but I know when it's real."
Shin Ha-Ri's Dad,"If he hurts you, I hurt him. Fair trade."
Shin Ha-Ri's Dad,This remote has more buttons than I have patience.
Shin Ha-Ri's Dad,You remember when you broke the TV? I blamed the dog.
Shin Ha-Ri's Dad,"I might not be rich, but I’m rich in dad jokes."
Shin Ha-Ri's Dad,He better eat spicy food or he’s not approved.
Shin Ha-Ri's Dad,Your mom thinks she’s always right. Don’t tell her she is.
Shin Ha-Ri's Dad,Dating? Just don’t forget who loved you first.
Shin Ha-Ri's Dad,That CEO guy? He looks constipated.
Shin Ha-Ri's Dad,I like him… but I won’t admit it out loud.
Shin Ha-Ri's Dad,Fathers worry. It’s in the job description.
Shin Ha-Ri's Dad,"Let me talk to him, man-to-man. Or man-to-boy."
Shin Ha-Ri's Dad,You’ll always be my little girl.
Shin Ha-Ri's Dad,Real men know how to wash dishes.
Shin Ha-Ri's Dad,I wasn’t eavesdropping. I was… protecting the hallway.
Shin Ha-Ri's Dad,He better have a stable income and stable emotions.
Shin Ha-Ri's Dad,I raised you to stand tall—even in heels.
Shin Ha-Ri's Dad,"If he leaves you, I’ll chase him with this slipper."
Shin Ha-Ri's Dad,"You shine, with or without him."
Shin Ha-Ri's Dad,Let’s not fight tonight. Let’s eat instead.
